Name,Source ID,Uses,Status,Reason,Brief family,Saved brief,Component briefs,Progression URL,Reference URL
Automatic Camera Flash,6d9d5bd7-6db0-481a-9ec6-b441510546fe,1,skip,text_number,,,,http://localhost:8000/gallery/primitives.html?status=all&q=6d9d5bd7-6db0-481a-9ec6-b441510546fe,http://localhost:8000/gallery/combination-originals/6d9d5bd7-6db0-481a-9ec6-b441510546fe.svg
Automotive Service Car Lift,245fc45b-1580-4530-93b9-2d61d874ff67,2,skip,combination,solo,"# Later Generation Components — Automotive Service Car Lift

Source UUID: 245fc45b-1580-4530-93b9-2d61d874ff67
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/car repair_245fc45b-1580-4530-93b9-2d61d874ff67.svg
Catalog path: pictographic-primitives/other/car repair_245fc45b-1580-4530-93b9-2d61d874ff67.svg
Source filename: car repair_245fc45b-1580-4530-93b9-2d61d874ff67.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/10@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/10@48.png

Generate each component separately. Do not remake or recompose the combined original. Brief preparation only; no generation or queue action is authorized.

Visual reason: A large detached open-ended wrench lies below a car and supplies a reusable repair modifier.

Sub icon position relative to main: bottom.

## Component 1: Front View Car
- family: solo
- description: A front-view car has a domed cabin above a wide body, with a horizontal windshield boundary and short vertical wheel ends. Exclude the detached wrench beneath it.


## Component 2: Double Open Ended Wrench
- family: sub
- description: A long straight wrench shaft joins two outward-facing concave open jaws, one at each end. Exclude the car; preserve the complete wrench as its own tool glyph.


You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity. This applies only to the named non-text components separately. Text uses existing typeface glyphs only.","[{""role"": ""main_brief"", ""description"": ""A front-view car has a domed cabin above a wide body, with a horizontal windshield boundary and short vertical wheel ends. Exclude the detached wrench beneath it."", ""family"": ""solo"", ""name"": ""Front View Car""}, {""role"": ""sub_brief"", ""description"": ""A long straight wrench shaft joins two outward-facing concave open jaws, one at each end. Exclude the car; preserve the complete wrench as its own tool glyph."", ""family"": ""sub"", ""name"": ""Double Open Ended Wrench""}]",http://localhost:8000/gallery/primitives.html?status=all&q=245fc45b-1580-4530-93b9-2d61d874ff67,http://localhost:8000/gallery/combination-originals/245fc45b-1580-4530-93b9-2d61d874ff67.svg
Baby Face with Single Hair Curl,5393b57b-1ff9-4e16-b855-128e09e91ba7,1,todo,,solo,"# Baby Face with Hair Curl

Source UUID: 5393b57b-1ff9-4e16-b855-128e09e91ba7
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/baby face_5393b57b-1ff9-4e16-b855-128e09e91ba7.svg
Catalog path: pictographic-primitives/other/baby face_5393b57b-1ff9-4e16-b855-128e09e91ba7.svg
Source filename: baby face_5393b57b-1ff9-4e16-b855-128e09e91ba7.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/13@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/13@48.png

- concept: Baby Face with Hair Curl
- icon_id: baby-face-with-hair-curl
- family: solo
- description: A circular baby face has two tiny dot eyes and a short nearly level mouth. A single curved hair curl hangs into the upper forehead, with no ears or separate body shown.
- tags: baby, face, infant, curl, hair, eyes, child, head

Authoring handoff: $icon-solo baby-face-with-hair-curl; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=5393b57b-1ff9-4e16-b855-128e09e91ba7,http://localhost:8000/gallery/combination-originals/5393b57b-1ff9-4e16-b855-128e09e91ba7.svg
Badminton Sports Shuttlecock,a72d1038-bdfa-446e-bd28-56516d6ea08b,2,todo,,solo,"# Three Lobed Shuttlecock

Source UUID: a72d1038-bdfa-446e-bd28-56516d6ea08b
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/badminton ball_a72d1038-bdfa-446e-bd28-56516d6ea08b.svg
Catalog path: pictographic-primitives/other/badminton ball_a72d1038-bdfa-446e-bd28-56516d6ea08b.svg
Source filename: badminton ball_a72d1038-bdfa-446e-bd28-56516d6ea08b.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/15@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/15@48.png

- concept: Three Lobed Shuttlecock
- icon_id: three-lobed-shuttlecock
- family: solo
- description: A badminton shuttlecock tilts from lower-left to upper-right. Its rounded cork base joins a flared skirt with three rounded feather tips and a long internal dividing line.
- tags: shuttlecock, badminton, sport, feather, cork, ball, game, racket

Authoring handoff: $icon-solo three-lobed-shuttlecock; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=a72d1038-bdfa-446e-bd28-56516d6ea08b,http://localhost:8000/gallery/combination-originals/a72d1038-bdfa-446e-bd28-56516d6ea08b.svg
Battery with Charging Flash Symbol,f8b6ea0a-273a-4932-a93b-52454f7fd328,1,skip,container,container,"# Later Generation Components — Battery with Charging Flash Symbol

Source UUID: f8b6ea0a-273a-4932-a93b-52454f7fd328
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/battery 1_f8b6ea0a-273a-4932-a93b-52454f7fd328.svg
Catalog path: pictographic-primitives/other/battery 1_f8b6ea0a-273a-4932-a93b-52454f7fd328.svg
Source filename: battery 1_f8b6ea0a-273a-4932-a93b-52454f7fd328.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/18@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/18@48.png

Generate each component separately. Do not remake or recompose the combined original. Brief preparation only; no generation or queue action is authorized.

Visual reason: A battery enclosure contains an independent charging bolt.

## Component 1: Horizontal Battery Frame
- family: container
- description: A rounded horizontal battery body has a smaller terminal projecting from the right edge. Keep its interior empty; exclude the charging bolt.


## Component 2: Charging Zigzag
- family: sub
- description: An open angular zigzag descends through three segments as a lightning flash. Exclude the surrounding battery.


You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity. This applies only to the named non-text components separately. Text uses existing typeface glyphs only.","[{""role"": ""main_brief"", ""description"": ""A rounded horizontal battery body has a smaller terminal projecting from the right edge. Keep its interior empty; exclude the charging bolt."", ""family"": ""container"", ""name"": ""Horizontal Battery Frame""}, {""role"": ""sub_brief"", ""description"": ""An open angular zigzag descends through three segments as a lightning flash. Exclude the surrounding battery."", ""family"": ""sub"", ""name"": ""Charging Zigzag""}]",http://localhost:8000/gallery/primitives.html?status=all&q=f8b6ea0a-273a-4932-a93b-52454f7fd328,http://localhost:8000/gallery/combination-originals/f8b6ea0a-273a-4932-a93b-52454f7fd328.svg
Bed with Key,3ca5e341-784c-4a0c-9aa0-c71bcbbafbd2,1,skip,combination,,,"[{""role"": ""main_brief"", ""description"": ""A front-facing bed with a broad mattress, pillow area and two short legs."", ""family"": ""solo"", ""name"": ""Bed""}, {""role"": ""sub_brief"", ""description"": ""A horizontal key with a round bow on the right and two downward teeth on its leftward shaft."", ""family"": ""sub"", ""name"": ""Key""}]",http://localhost:8000/gallery/primitives.html?status=all&q=3ca5e341-784c-4a0c-9aa0-c71bcbbafbd2,http://localhost:8000/gallery/combination-originals/3ca5e341-784c-4a0c-9aa0-c71bcbbafbd2.svg
Biometric Fingerprint Identification,18f6118d-0b0a-4a7b-89e0-52ba5abbcb54,7,todo,,solo,"# Fingerprint with Open Arch

Source UUID: 18f6118d-0b0a-4a7b-89e0-52ba5abbcb54
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/fingerprint_18f6118d-0b0a-4a7b-89e0-52ba5abbcb54.svg
Catalog path: pictographic-primitives/other/fingerprint_18f6118d-0b0a-4a7b-89e0-52ba5abbcb54.svg
Source filename: fingerprint_18f6118d-0b0a-4a7b-89e0-52ba5abbcb54.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/21@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/21@48.png

- concept: Fingerprint with Open Arch
- icon_id: fingerprint-with-open-arch
- family: solo
- description: A fingerprint is formed by an outer open arch and a smaller nested ridge that curves down and outward on both sides. One additional inner ridge bends toward the lower-left.
- tags: fingerprint, biometric, identity, ridges, arch, finger, security, scan

Authoring handoff: $icon-solo fingerprint-with-open-arch; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=18f6118d-0b0a-4a7b-89e0-52ba5abbcb54,http://localhost:8000/gallery/combination-originals/18f6118d-0b0a-4a7b-89e0-52ba5abbcb54.svg
Braille Alphabet Dot Pattern,9a878067-c24e-4478-bd0a-a0a8e12afcc0,3,skip,text_number,sub,"# Later Generation Components — Braille Alphabet Dot Pattern

Source UUID: 9a878067-c24e-4478-bd0a-a0a8e12afcc0
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/braille_9a878067-c24e-4478-bd0a-a0a8e12afcc0.svg
Catalog path: pictographic-primitives/other/braille_9a878067-c24e-4478-bd0a-a0a8e12afcc0.svg
Source filename: braille_9a878067-c24e-4478-bd0a-a0a8e12afcc0.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/32@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/32@48.png

Generate each component separately. Do not remake or recompose the combined original. Brief preparation only; no generation or queue action is authorized.

Visual reason: The source is a five-dot Braille character layout.

## Component 1: Braille Five Dot Layout
- family: sub
- description: Exact Braille pattern: ⠷. Five dots occupy the left column’s top, middle and bottom plus the right column’s middle and bottom; the upper-right slot is empty. Reuse/layout brief only: no matching character exists in icon_set/typeface/glyphs.json. Hold this missing glyph for review; do not invent a replacement glyph. Exclude any document enclosure. No alphabetic reading is asserted.


You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity. This applies only to the named non-text components separately. Text uses existing typeface glyphs only.

Open questions / visual draft hold:
- The five-dot Braille pattern is clear, but its linguistic interpretation is not established. The existing typeface catalog has no matching Braille glyph; preserve the layout and hold glyph generation.",,http://localhost:8000/gallery/primitives.html?status=all&q=9a878067-c24e-4478-bd0a-a0a8e12afcc0,http://localhost:8000/gallery/combination-originals/9a878067-c24e-4478-bd0a-a0a8e12afcc0.svg
Bunch of Grapes,2fc0acbf-1d1b-470d-a272-1cf68f822b5a,1,todo,,solo,"# Six Grape Bunch

Source UUID: 2fc0acbf-1d1b-470d-a272-1cf68f822b5a
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/grape_2fc0acbf-1d1b-470d-a272-1cf68f822b5a.svg
Catalog path: pictographic-primitives/other/grape_2fc0acbf-1d1b-470d-a272-1cf68f822b5a.svg
Source filename: grape_2fc0acbf-1d1b-470d-a272-1cf68f822b5a.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/46@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-02/png/46@48.png

- concept: Six Grape Bunch
- icon_id: six-grape-bunch
- family: solo
- description: Six round grapes form a tapering cluster arranged in rows of three, two and one. A short forked stalk floats directly above the top row as part of the fruit bunch.
- tags: grapes, fruit, bunch, cluster, vine, stalk, berries, food

Authoring handoff: $icon-solo six-grape-bunch; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=2fc0acbf-1d1b-470d-a272-1cf68f822b5a,http://localhost:8000/gallery/combination-originals/2fc0acbf-1d1b-470d-a272-1cf68f822b5a.svg
C Plus Plus Programming Language,fe40b320-52ca-41ee-9fde-5c659d270f28,3,todo,,,,,http://localhost:8000/gallery/primitives.html?status=all&q=fe40b320-52ca-41ee-9fde-5c659d270f28,http://localhost:8000/gallery/combination-originals/fe40b320-52ca-41ee-9fde-5c659d270f28.svg
Cannabis Plant Leaf,75ca4f8a-309a-4fe3-b039-3e34bdf81ef3,5,todo,,solo,"# Cannabis Leaf

- icon_id: cannabis-leaf
- family: solo
- description: A broad leaf has five pointed lobes radiating from a shared center, with the tallest lobe upright and smaller pairs spreading sideways. Its low edge is mostly horizontal above a straight central stem.
- tags: cannabis, leaf, plant, foliage, botanical, hemp

- source_uuid: 75ca4f8a-309a-4fe3-b039-3e34bdf81ef3
- reference_path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/cannabis/cannabis_75ca4f8a-309a-4fe3-b039-3e34bdf81ef3.svg
- source: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/sources/cannabis_75ca4f8a-309a-4fe3-b039-3e34bdf81ef3-088d93864a75/cannabis_75ca4f8a-309a-4fe3-b039-3e34bdf81ef3.svg
- render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/16@320.png
- native48: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-1/20260917-snapshot/16@48.png

Authoring handoff: $icon-solo (48×48).

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=75ca4f8a-309a-4fe3-b039-3e34bdf81ef3,http://localhost:8000/gallery/combination-originals/75ca4f8a-309a-4fe3-b039-3e34bdf81ef3.svg
Canoe and Paddle,18ef3c0c-f96b-4a36-b74d-e15aada31f40,1,todo,,solo,"# Canoe and Paddle

Source UUID: 18ef3c0c-f96b-4a36-b74d-e15aada31f40
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/canoe paddle_18ef3c0c-f96b-4a36-b74d-e15aada31f40.svg
Catalog path: pictographic-primitives/other/canoe paddle_18ef3c0c-f96b-4a36-b74d-e15aada31f40.svg
Source filename: canoe paddle_18ef3c0c-f96b-4a36-b74d-e15aada31f40.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-03/png/04@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-03/png/04@48.png

- concept: Canoe and Paddle
- icon_id: canoe-and-paddle-reference
- family: solo
- description: A top-view canoe has a long rounded oval hull surrounding a narrower oval cockpit. A separate paddle stands vertically to its left with a broad rounded blade above a long straight shaft.
- tags: canoe, paddle, boat, cockpit, hull, water, rowing, recreation

Authoring handoff: $icon-solo canoe-and-paddle-reference; SOLO48, 48×48.

You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity.",,http://localhost:8000/gallery/primitives.html?status=all&q=18ef3c0c-f96b-4a36-b74d-e15aada31f40,http://localhost:8000/gallery/combination-originals/18ef3c0c-f96b-4a36-b74d-e15aada31f40.svg
Car and Wrench Repair Icon,7a2552f6-ae52-4b87-a510-432f8be7e0ec,2,skip,combination,solo,"# Later Generation Components — Car and Wrench Repair Icon

Source UUID: 7a2552f6-ae52-4b87-a510-432f8be7e0ec
Source path: /Applications/Workspaces/pictographic/icon_simplification/pictographic-primitives/other/car repair_7a2552f6-ae52-4b87-a510-432f8be7e0ec.svg
Catalog path: pictographic-primitives/other/car repair_7a2552f6-ae52-4b87-a510-432f8be7e0ec.svg
Source filename: car repair_7a2552f6-ae52-4b87-a510-432f8be7e0ec.svg
Render: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-03/png/09@320.png
Native 48 preview: /Applications/Workspaces/pictographic/claude_skills/work/primitives-review/page-missing/20260917-scoped50-03/png/09@48.png

Generate each component separately. Do not remake or recompose the combined original. Brief preparation only; no generation or queue action is authorized.

Visual reason: A detached wrench above the car is a reusable repair modifier rather than a car part.

Sub icon position relative to main: top.

## Component 1: Front View Car
- family: solo
- description: A front-view car has a trapezoidal windshield above a broad rounded body, two short horizontal headlights and short vertical wheel ends. Exclude the wrench above it.


## Component 2: Double Open Ended Wrench
- family: sub
- description: A long horizontal shaft joins two concave open jaws facing outward at opposite ends. Exclude the car; generate the complete wrench independently.


You can try modifying a copy of the SVG reference to fit the icon design rules, or generate a new icon that matches the icon name. Either approach must follow the requested family's design rules and preserve the named subject's identity. This applies only to the named non-text components separately. Text uses existing typeface glyphs only.","[{""role"": ""main_brief"", ""description"": ""A front-view car has a trapezoidal windshield above a broad rounded body, two short horizontal headlights and short vertical wheel ends. Exclude the wrench above it."", ""family"": ""solo"", ""name"": ""Front View Car""}, {""role"": ""sub_brief"", ""description"": ""A long horizontal shaft joins two concave open jaws facing outward at opposite ends. Exclude the car; generate the complete wrench independently."", ""family"": ""sub"", ""name"": ""Double Open Ended Wrench""}]",http://localhost:8000/gallery/primitives.html?status=all&q=7a2552f6-ae52-4b87-a510-432f8be7e0ec,http://localhost:8000/gallery/combination-originals/7a2552f6-ae52-4b87-a510-432f8be7e0ec.svg
