38	Office Building with Foreground Person	A rectangular office building with four square windows is interrupted at its lower right by a person bust. The circular head and rounded shoulders occupy the cleared corner.	building,person,office,windows,bust,work,ambiguous
39	Person beside Two Ball Snowman	A person stands to the right of a snowman formed from two stacked circles. One arm extends toward the snowman, whose left side carries a short angled stick arm.	snowman,person,winter,snow,building,play,scene
40	Frame Buckle on Belt	A broad rounded rectangular buckle encloses a smaller opening with a short inward prong. Matching belt ends emerge at the left and right sides of the frame.	buckle,belt,fastener,clothing,frame,prong,accessory
41	Rounded Road Hump	A broad semicircular hump rises from a straight horizontal baseline. Short upright sides join the smooth domed top to the ground, with no interior markings or surrounding objects.	hump,bump,road,dome,traffic,semicircle,symbol
42	Circle Divided by Pulse Band	A large circular outline is interrupted across its middle by a continuous undulating band. The band rises into a tall narrow central peak, then dips toward both sides.	pulse,circle,wave,band,signal,geometric,mark
43	Beetle with Straight Radiating Legs	A beetle has a rounded head above an oval body split by a vertical seam. Two curved antennae rise above it, and six straight legs extend from the sides.	beetle,bug,insect,antennae,legs,body,wings
44	Plain Three Layer Burger	A burger consists of a broad domed upper bun, a thick rounded middle filling and a lower bun. Smooth horizontal boundaries separate the three stacked layers without additional toppings.	burger,hamburger,bun,food,fast-food,sandwich,meal
45	Rounded Passenger Car Profile	A passenger car appears in side view with a low rounded body and raised trapezoidal cabin. Two large circular wheels overlap its lower edge beneath a plain window area.	car,vehicle,transport,wheels,passenger,cabin,profile
46	Standing Hook Beaked Vulture	A vulture stands facing right with a large hooked beak and curved neck. A long pointed wing covers its body, ending above an angular tail and thin supporting leg.	vulture,bird,beak,wing,scavenger,wildlife,standing
47	Two Tower Suspension Bridge	A suspension bridge spans water on two tall supports. Curved cables descend from the tower tops toward the deck, while two rows of scalloped waves run beneath it.	bridge,suspension,water,cables,towers,structure,river
48	Tea Leaves beside Pearl Cluster	Two pointed tea leaves spread from a curved branching stem at upper left. Five rounded pearls overlap in a compact cluster below and to the right of the leaves.	tea,leaves,boba,pearls,ingredients,plant,drink
49	Three Teardrop Buckwheat Grains	Three broad grains form a triangular group with one above and two below. Each has a pointed upper tip, curved sides and a flattened rounded base.	buckwheat,grains,seeds,food,three,agriculture,ingredient
50	Three Eggs in Shallow Nest	Three upright eggs sit side by side within a shallow bowl-shaped nest. Their pointed tops rise above the curved rim, while their lower portions are hidden inside.	eggs,nest,three,bird,brood,oval,nature
51	Branching Stem with Round Nodes	A straight vertical stem branches diagonally to the left and right at different heights. Three circular nodes cap the central stem and the two slanted branches.	branch,nodes,connections,diagram,network,stem,circles
52	Toothpaste Tube over Brush	A toothpaste tube angles downward toward a horizontal toothbrush, with a separate curl of paste between them. The brush has a short bristled head and a bent handle extending right.	toothpaste,toothbrush,paste,dental,hygiene,teeth,bathroom
53	Toothbrush beneath Curl of Paste	A horizontal toothbrush has a raised rectangular bristle block and a gently bent handle. A large curled dollop of toothpaste floats directly above the bristles, separated by a small gap.	toothbrush,toothpaste,bristles,paste,dental,hygiene,care
54	Tulip with Two Spreading Leaves	A tulip bloom has three rounded pointed petals overlapping above a straight stalk. Two broad leaves extend outward near its base, with the right leaf sitting slightly lower.	tulip,flower,petals,leaves,stem,plant,bloom
55	Paired Grain Stalks	Two upright grain stalks stand at different heights with pointed leaves alternating along their stems. Curved pairs near the tops spread outward and overlap across the gap between the stalks.	wheat,grain,stalks,leaves,crop,plant,agriculture
56	Uniformed Person with Peaked Cap	A uniformed person faces forward beneath a broad peaked cap and curved visor. The plain head sits above a short neck and rounded shoulders divided by a central shirt seam.	driver,uniform,cap,person,portrait,hat,bust
57	Arrow with Unequal Upward Ends	A continuous U-shaped curve rises into two upward pointing arrowheads at different heights. The right stem extends much higher than the left, above a broad rounded lower bend.	arrow,double,upward,curve,u-shaped,direction,symbol
58	Rounded Water Level Vessel	A rounded rectangular vessel contains a wavy horizontal line near its upper third. The line reaches both sides, dividing a shallow empty upper area from a larger lower interior.	water,level,vessel,liquid,wave,container,outline
59	Teardrop Cup Brassiere	A brassiere has two deep teardrop shaped cups joined by a short central bridge. Thin vertical shoulder straps rise from the outer tops, framing the open space between them.	bra,brassiere,lingerie,cups,straps,clothing,underwear
60	C Clamp with Screw Handle	A thick C-shaped clamp opens to the left around a straight vertical screw. A short pressure bar sits inside the opening, and a wider rounded handle crosses the screw below.	clamp,c-clamp,screw,tool,handle,workshop,fastener
61	Straight Cable Tie Strap	A narrow vertical cable tie has a broad rounded square locking head at the top. A small slot marks the head, and horizontal divisions cross the straight strap below.	cable-tie,zip-tie,strap,fastener,locking,plastic,binding
62	Car beneath Wash Bubbles	A car faces forward with a broad windshield above a rounded body and two short wheels. Seven small circular wash bubbles form two staggered rows overhead.	car,wash,bubbles,vehicle,cleaning,windshield,wheels
63	Flour Sifter with Falling Grains	A shallow semicircular sifter hangs beneath a straight horizontal rim that extends right as a handle. Two rows of short falling marks descend below its rounded base.	sifter,flour,baking,sieve,grains,utensil,kitchen
64	Backward Cap above Sunglasses	A rounded baseball cap has a top button and small semicircular rear opening. Beneath it sit two broad rounded sunglass lenses joined by a short bridge.	cap,sunglasses,hat,eyewear,clothing,accessories,baseball
65	Single Candle Iced Cake	A rectangular cake with rounded corners carries a wavy icing line across its upper half. One thin candle rises from the center, topped by a teardrop flame.	cake,candle,birthday,icing,flame,dessert,celebration
66	Three Candle Birthday Cake	A rounded rectangular cake has scalloped icing hanging across its front. Three upright candles and separate teardrop flames rise above it, while a straight serving line rests below.	cake,candles,birthday,icing,dessert,flames,celebration
67	Steaming Car with Raised Hood	A compact car faces right with a small side window and two round wheels. Its hood lifts above the front, with two wavering steam strokes rising from the engine area.	car,hood,steam,engine,overheating,vehicle,repair
68	Arrow Embedded in Round Target	A circular target contains two inner rings and an arrow embedded near its center. The long shaft extends diagonally toward upper right, ending in an angular feathered tail.	target,arrow,bullseye,archery,rings,sport,aim
69	Camera with Shaking Lines	A rounded camera body has a raised top housing and a central circular lens. A separate wavy vertical line on each side suggests the camera trembling laterally.	camera,shake,lens,photography,motion,device,wavy
70	Pine Tree beside Triangular Tent	A tall pine tree stands to the left of a triangular tent on a shared baseline. The tree has stepped branches, while a smaller triangle marks the tent entrance.	camping,tent,pine,tree,entrance,outdoors,campsite
71	Tent beside Round Crown Tree	A triangular tent sits beside a tall tree with an oval crown and branching trunk. Both rest on a straight ground line, and a small triangle marks the tent opening.	tent,tree,camping,forest,outdoors,campsite,entrance
72	Two Terminal Car Battery	A rectangular battery has rounded corners and two short terminals projecting from its top. A minus mark sits beneath the left terminal and a plus beneath the right.	battery,car,terminals,plus,minus,power,automotive
73	Car with Attached Burning Fuse	A side view car has two wheels and a raised cabin beneath a curved fuse. The fuse grows directly from the roof and ends in short radiating spark marks.	car,fuse,spark,bomb,vehicle,explosive,roof
74	Compact Car beneath Clouds	A small car with a rounded divided cabin faces right beneath two clouds. Two wheels support its low body, and a small detached round puff trails behind at the left.	car,clouds,vehicle,sky,travel,wheels,weather
75	Car on Inclined Ramp	A car tilts along a steep ramp rising toward the right. Its rounded body and two wheels sit parallel to the slope above the triangular solid profile of the ramp.	car,ramp,slope,vehicle,incline,wheels,road
76	Hands Supporting Front Facing Car	A front facing car hovers above two open cupped hands. Its broad windshield, side mirrors and small wheels sit symmetrically between the raised fingertips of the hands.	car,hands,support,vehicle,care,palms,protection
77	Front View Car with Sensor Waves	A small car faces forward with a trapezoidal windshield, paired lights and two short wheels. Two curved sensing waves spread outward from each side of its body.	car,sensor,waves,vehicle,front,proximity,automotive
78	Overhead Car with Sensor Waves	A car viewed from above has a long rounded body, two inset windows and short side mirrors. Paired curved waves flank its sides, opening outward from the vehicle.	car,sensor,overhead,waves,proximity,windows,vehicle
79	Rounded Car under Sun	A car faces right with a domed cabin divided by a vertical window seam. Two round wheels support its low body beneath a small sun with short rays at upper right.	car,sun,vehicle,weather,travel,wheels,day
80	Front Facing Car under Spray	A car faces forward with a broad windshield and two rounded rectangular headlights. Short diagonal water strokes descend in two rows above the roof toward its plain front body.	car,wash,spray,water,vehicle,cleaning,front
81	Side View Car with Open Hood	A low car appears in side view with a raised cabin and two small wheels. Its hood lifts diagonally from the left end, extending into a short horizontal tip.	car,hood,open,vehicle,repair,wheels,engine
82	Car with Stacked Roof Luggage	A boxy car faces right with divided windows, a front door and two round wheels. Two rectangular pieces of luggage stack on its roof, the smaller one on top.	car,luggage,roof,travel,vehicle,baggage,wheels
83	Round Cable Terminal	A large circular terminal caps two long parallel vertical lines. The lines descend from separated points along the bottom curve, forming a narrow cable beneath the empty round head.	cable,terminal,circle,connection,wire,round,diagram
84	Plain Compact Hatchback	A compact hatchback appears in side view with a gently rising hood and rounded roof. Two large circular wheels interrupt the lower outline beneath an otherwise unmarked body.	car,hatchback,vehicle,compact,wheels,transport,profile
85	Raised Top Photo Camera	A photo camera faces forward with a broad rounded rectangular body and a raised central top housing. A large plain circular lens sits centered on its front panel.	camera,photo,lens,photography,device,body,digital
86	Rounded Digital Camera Body	A digital camera has softly rounded lower corners and shoulders rising toward a flat central top. Its empty front is marked by one circular lens slightly below the middle.	camera,digital,lens,photography,device,front,body
87	Two Door Rounded Cabinet	A tall rounded rectangular cabinet is divided vertically into two matching doors. Two short upright handles sit beside the central seam, with no shelves or contents visible.	cabinet,doors,storage,furniture,handles,cupboard,interior
88	Three Financial Candlesticks	Three upright candlesticks rise progressively from left to right. Each consists of an empty rectangular body with thin upper and lower wicks, and their body heights vary.	candlesticks,chart,trading,finance,bars,market,graph
89	Halved Coconut with Oval Center	A halved coconut tilts diagonally with a broad oval cut face and smaller oval center. Its deep curved shell wraps beneath the rim, giving the fruit a bowl-like profile.	coconut,half,fruit,shell,cut,food,tropical
90	Pistol Grip Movie Camera	A handheld movie camera has a rectangular body between a short eyepiece and a flared lens. A long shaped grip drops from its underside, curving inward near the bottom.	camera,movie,film,grip,lens,video,device
91	Car Broken beneath Impact Burst	A car is divided into two jagged separated halves, each resting on a wheel. A large pointed impact burst rises above the gap, spreading across both broken roof sections.	car,collision,impact,crash,vehicle,broken,burst
92	Hiker with Pole beside Tent	A person stands holding a long vertical walking pole in a bent arm. A plain triangular tent appears at the right, with a gap along its left sloping edge.	hiker,pole,tent,camping,person,outdoors,walking
93	Long Front Opening Caftan	A long caftan faces forward with a rounded neckline and loose sleeves ending near the waist. A straight central seam runs from neck to hem through the gently flaring body.	caftan,robe,clothing,sleeves,garment,long,tunic
94	Looped Zip Tie with Tail	A cable tie forms a broad rounded loop below an angled rectangular locking head. Its loose tail extends diagonally upward to the right from the other side of the head.	zip-tie,cable-tie,loop,fastener,strap,locking,binding
95	Stepped Path Linking Three Nodes	Three circular nodes sit at lower left, center and upper right along angular connecting paths. Horizontal and vertical segments link them in an irregular stepped loop with an empty interior.	nodes,path,connections,diagram,network,stepped,circles
96	Open Stall with Scalloped Canopy	A broad scalloped canopy rests above an open market stall. Two straight side supports descend past a horizontal counter, leaving the space beneath the awning entirely clear.	stall,market,canopy,awning,counter,retail,structure
97	Open Outline Camera	A camera outline has rounded shoulders, a raised top and a large circular lens. A broad gap interrupts the lower left portion of its otherwise rectangular body.	camera,lens,photography,outline,open,device,body
98	Motorhome with Overcab Roof	A motorhome faces right with a high cabin roof extending above the windshield. A large side window and separate cab window sit over two round wheels and a plain body.	motorhome,camper,rv,vehicle,travel,windows,wheels
99	Two Reel Movie Camera	A movie camera has two differently sized circular reels above a rounded rectangular body. A short flared lens projects from its right side, with no handle or tripod visible.	camera,movie,reels,film,video,lens,cinema
100	Standing Camper beside Tent	A person stands at the left of a triangular camping tent. The figure has a round head and straight legs, while a smaller triangle marks the tent's entrance.	camper,person,tent,camping,outdoors,entrance,scene
101	Person beside Mountain Peak	A person stands beside a triangular mountain with an angular snow line across its upper half. The plain figure has a detached round head, hanging arms and straight legs.	person,mountain,peak,hiking,outdoors,summit,scene
102	Person beside Tall Pine	A standing person appears to the left of a pine tree with three tiers of pointed branches. The tree rises above the round headed figure on a short straight trunk.	person,pine,tree,forest,outdoors,nature,standing
