Number,Icon,Status,Kind,Categories,Findings,Python source
11,aperture-shutter-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0.489125, 0, 31.5109, 32) does not match the SQUARE envelope (0, 0, 32, 32) (deltas [0.4891, 0.0, 0.4891, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/aperture_shutter_sub32_0cb953cf_9714_40a8_af67_7ea79c576259.py
12,arrow-dot-down-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-3-1]: path-3-1 and path-4-1 are 5 apart on centerlines nearest (16, 5)<->(16, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrow_dot_down_sub32_9588b781_0809_45f9_a576_99a58685fcba.py
13,arrow-dot-left-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-3-1]: path-3-1 and path-4-1 are 5 apart on centerlines nearest (27, 16)<->(22, 16); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrow_dot_left_sub32_2ebf9acc_12df_4295_afb7_797830fc7f91.py
14,arrow-dot-up-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-3-1]: path-3-1 and path-4-1 are 5 apart on centerlines nearest (16, 27)<->(16, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrow_dot_up_sub32_76c32561_c42c_4de0_b32b_c4e51a1e90ca.py
15,arrow-left-button-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
internal-spacing [path-1-1]: p1-r1-1 and p1-r1-5 have 1.8852 units of ink clearance over 3.2173 units; requires 2; review required
internal-spacing [path-1-1]: p1-r1-2 and p1-r1-4 have 1.8852 units of ink clearance over 3.2173 units; requires 2; review required",icon_set/model/icons/symbol/arrow_left_button_sub32_a74099d0_c11f_40f0_b7ad_8f5a80bb9351.py
16,arrow-right-2dabd652-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/arrow_right_2dabd652_sub32_2dabd652_d8dd_4866_92ea_d5ea5b02c1cf.py
17,arrow-right-button-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-5 and p1-r1-3 are 5.65685 apart on centerlines (ink gap 1.65685); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-6 are 5.65685 apart on centerlines (ink gap 1.65685); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-1-1]: p1-r1-2 and p1-r1-6 have 1.6569 units of ink clearance over 13.1168 units; requires 2; review required
internal-spacing [path-1-1]: p1-r1-3 and p1-r1-5 have 1.6569 units of ink clearance over 13.1168 units; requires 2; review required",icon_set/model/icons/symbol/arrow_right_button_sub32_a7e3c42e_c209_4a3a_8df2_c3afd64e26d8.py
18,arrow-up-from-ring-sub32,fail,symbol,Spacing,"mic [path-4-1]: parallel straight edges p4-r1-1 and p5-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 1 undersized holes; 0 pinches
mic [path-1-1]: path-1-1 and path-2-1 are 0 apart on centerlines nearest (16, 11)<->(16, 11); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrow_up_from_ring_sub32_881c5fe6_40eb_4d1d_a3ac_917193736675.py
19,arrow-up-with-dashed-tail-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 5 apart on centerlines nearest (12, 22)<->(12, 27); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-3-1 are 5 apart on centerlines nearest (20, 22)<->(20, 27); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrow_up_with_dashed_tail_sub32_042844f7_9e69_44c7_91bb_6be3830d4b9b.py
20,arrows-diagonal-resize-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-4-1 are 5.65685 apart on centerlines nearest (6, 18)<->(10, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/arrows_diagonal_resize_sub32_eab2ea44_17e8_4abd_a74b_7e5c171a7bae.py
21,balanced-scale-with-hanging-pans-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
holes/pinches: 4 undersized holes; 2 pinches",icon_set/model/icons/symbol/balanced_scale_with_hanging_pans_sub32_098c5b62_8287_467b_95c6_c1b202763219.py
22,bar-graph-rising-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-4-1]: parallel straight edges p4-r1-3 and p4-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: parallel straight edges p4-r1-1 and p3-r1-3 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-3 and p3-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-1 and p2-r1-3 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-3 and p2-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-2-1 / path-3-1]: p2-r1-3 and p3-r1-1 have 1 units of ink clearance over 7 units; requires 2; review required
internal-spacing [path-3-1 / path-4-1]: p3-r1-3 and p4-r1-1 have 1 units of ink clearance over 14 units; requires 2; review required",icon_set/model/icons/symbol/bar_graph_rising_sub32_9eac7172_d6a3_4992_aaad_dd1cdbd21c70.py
23,barrier-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-2-1]: parallel straight edges p2-r1-1 and p3-r1-1 are 7.77817 apart on centerlines (ink gap 3.77817); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/barrier_sub32_80d907cf_11f8_4104_a791_525bc0837b34.py
24,batch-01-monitor-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-7, p1-r1-6 and p3-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-7, p1-r1-6 and p4-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/batch_01_monitor_sub32_181755f1_a8ab_4d25_8475_ebcf6885f0c8.py
25,bear-face-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-3 and p5-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: parallel straight edges p4-r1-1 and p1-r1-5 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 2 undersized holes; 0 pinches
internal-spacing [path-1-1 / path-3-1]: p1-r1-2 and p3-r1-2 have 0.3469 units of ink clearance over 4.24 units; requires 2; review required
internal-spacing [path-1-1 / path-2-1]: p1-r1-6 and p2-r1-2 have -0.0009 units of ink clearance over 4.9589 units; requires 2; review required",icon_set/model/icons/symbol/bear_face_sub32_acd3fbf8_bb16_4b4b_abd7_72c416824207.py
26,bicycle-angled-handlebar-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-3-1 are 0 apart on centerlines nearest (7, 17)<->(7, 17); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 0 apart on centerlines nearest (25, 17)<->(25, 17); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/bicycle_angled_handlebar_sub32_71cc0503_f8f3_434e_9c8e_e1524bb2498d.py
27,binoculars-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 27.6021) does not match the HRECT_L envelope (0, 4, 32, 28) (deltas [0.0, 1.0, 0.0, 0.3979], tolerance 0.0)
mic [path-4-1]: parallel straight edges p4-r1-4, p4-r1-5 and p2-r1-4, p2-r1-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/binoculars_sub32_c302c027_d345_469d_98e7_0e924b296946.py
28,bird-life-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 11, 32, 21) does not match the HRECT_S envelope (0, 8, 32, 24) (deltas [0.0, 3.0, 0.0, 3.0], tolerance 0.0)",icon_set/model/icons/symbol/bird_life_sub32_dee6f213_07ab_4305_8dd4_d656ac7937ec.py
29,blank-stopwatch-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (2.94986, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [0.9499, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/blank_stopwatch_sub32_e73c1112_0549_47dc_b405_aef3c88450ee.py
30,board-rider-over-waves-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29.001) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 0.999], tolerance 0.0)
holes/pinches: 2 undersized holes; 1 pinches",icon_set/model/icons/symbol/board_rider_over_waves_sub32_31dfc8f9_9e71_491e_9f9a_e8bd904e4344.py
31,boot-sub32,fail,symbol,Spacing,mic [path-2-1]: parallel straight edges p2-r1-1 and p3-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal),icon_set/model/icons/symbol/boot_sub32_30304fad_17a9_493d_ac22_7d98eda09d1a.py
32,bowling-pins-row-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29.0002) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 0.9998], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 3 apart on centerlines nearest (5, 9)<->(5, 12); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-4-1 are 5 apart on centerlines nearest (8, 20)<->(13, 20); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-3-1]: path-3-1 and path-4-1 are 3 apart on centerlines nearest (16, 9)<->(16, 12); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-4-1]: path-4-1 and path-6-1 are 5 apart on centerlines nearest (19, 20)<->(24, 20); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-5-1]: path-5-1 and path-6-1 are 3 apart on centerlines nearest (27, 9)<->(27, 12); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
holes/pinches: 3 undersized holes; 3 pinches",icon_set/model/icons/symbol/bowling_pins_row_sub32_d972c303_2754_4efe_82ae_c0b2f535370b.py
33,bowling-pins-three-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-2, p3-r1-3 and p3-r1-6, p3-r1-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-5-1]: parallel straight edges p5-r1-2 and p5-r1-7 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-2, p1-r1-3 and p1-r1-6, p1-r1-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-5-1 are 5.04573 apart on centerlines nearest (7.98555, 16.2941)<->(13.0144, 16.7059); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-3-1]: path-3-1 and path-5-1 are 5.04573 apart on centerlines nearest (24.0144, 16.2941)<->(18.9856, 16.7059); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/bowling_pins_three_sub32_012843f4_1e2d_4bd4_8797_27a0f5f0fd46.py
34,box-45de01b0-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-4 and p2-r1-4 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-6 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/box_45de01b0_sub32_45de01b0_a422_4363_88ba_ed314919b96c.py
35,box-805cc175-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-1, p1-r1-2 and p2-r1-1, p2-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/box_805cc175_sub32_805cc175_0660_4025_842b_55f4fa16a559.py
36,brain-head-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/brain_head_sub32_01418f39_dca2_44e9_bb44_904b3b62f519.py
37,brain-with-two-inner-folds-sub32,fail,symbol,Spacing,"mic [path-2-1]: path-2-1 and path-5-1 are 5.99673 apart on centerlines nearest (29.9966, 14.9635)<->(24, 15); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/brain_with_two_inner_folds_sub32_e4cb7fec_5844_4dee_a6d5_ffcdc23d8d21.py
38,broadcast-van-dish-sub32,fail,symbol,Spacing,"holes/pinches: 3 undersized holes; 0 pinches
internal-spacing [path-1-1 / path-3-1]: p1-r1-3 and p3-r1-1 have -0.4862 units of ink clearance over 2.4296 units; requires 2; review required",icon_set/model/icons/symbol/broadcast_van_dish_sub32_493ede0a_6fdc_424e_ac62_2775797bcb36.py
39,bulb-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29.0168) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 0.9832], tolerance 0.0)
mic [path-5-1]: parallel straight edges p5-r1-1 and p6-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-5-1]: path-5-1 and path-6-1 are 0.5547 apart on centerlines nearest (12, 21)<->(11.5385, 21.3077); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/bulb_sub32_9c7b548b_f26b_4b87_8dac_75d503bfd7a8.py
40,cake-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3.93649, 32, 29) does not match the HRECT_L envelope (0, 4, 32, 28) (deltas [0.0, 0.0635, 0.0, 1.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-1 and p2-r1-6 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 2 undersized holes; 0 pinches",icon_set/model/icons/symbol/cake_sub32_ffca9ae9_2486_4950_9183_fda6e50cd3ce.py
41,canoe-and-paddle-sub32,fail,symbol,Bounds; Spacing; Grid,"style/grid [p1-r1-3]: radius_x must be a positive integer, got 8.5
style/grid [p1-r1-3]: radius_y must be a positive integer, got 6.375
canvas/keyshape bounds: visible ink (0, 2.89412, 32, 30.375) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 0.8941, 0.0, 0.375], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-2 and p3-r1-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: parallel straight edges p4-r1-2 and p4-r1-5 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-2-1 are 5.98542 apart on centerlines nearest (29.9548, 16.3037)<->(23.9904, 16.804); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 5 apart on centerlines nearest (13, 22)<->(8, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
holes/pinches: 1 undersized holes; 1 pinches",icon_set/model/icons/symbol/canoe_and_paddle_sub32_7b8e9bf7_9bed_5b92_918e_e02031e1e3e3.py
42,car-dashboard-e-1-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-3-1 are 5.65685 apart on centerlines nearest (13, 18)<->(17, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/car_dashboard_e_1_sub32_98f23329_d944_4453_ac48_9d771dfe4fae.py
43,car-horn-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-4-1]: path-4-1 and path-5-1 are 5 apart on centerlines nearest (22, 5)<->(27, 5); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/car_horn_sub32_6e120b10_f09c_4f71_9e1d_244b8eb9fd47.py
44,car-skidding-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-2-1]: parallel straight edges p2-r1-2 and p1-r1-1, p1-r1-2, p1-r1-3 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-1, p1-r1-2, p1-r1-3 and p1-r1-7 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/car_skidding_sub32_9ba9924a_41d3_4ed9_93c5_d475f8bd2fd2.py
